ChatGPT
"

Overall Sentiment Percentages:

Cleanliness: The overall sentiment for cleanliness has steadily increased from 48.3% in 2017 to 62.6% in 2023.

Amenities: The sentiment for amenities has been relatively steady, with a slight decrease over the years, from 66.7% in 2017 to 65.9% in 2023.

Location: The overall sentiment for location has decreased from 63.2% in 2017 to 55.9%% in 2020, before increasing slightly to 61.7% in 2022 and 63.1% in 2023.

Services: The sentiment for services has seen a steady increase, from 61.9% in 2017 to 63.5% in 2023.

General: The overall sentiment for the general atmosphere has fluctuated over the years, from 66.3% in 2017 to 65.6% in 2023.

Value: The sentiment for value has remained relatively steady, ranging from 57.8% in 2017 to 62.4% in 2021.

Suggestions for Improvement:

Cleanliness: Increase efforts to ensure cleanliness throughout the premises, such as increasing regular cleaning schedules and investing in more modern cleaning supplies.

Amenities: Focus on increasing the quality and quantity of amenities offered by the venue, such as better furniture, updated technology, or even aromatherapy diffusers.

Location: Improve the proximity to other attractions, such as local shopping centers or transportation options.

Services: Invest in better training for staff members to ensure all services are provided in a timely and professional manner. 

General: Invest in modernizing the premises, and creating a more inviting atmosphere with decorations, music, and lighting.

Value: Increase the value offerings for customers, such as discounts or loyalty programs."
