ChatGPT
".

For the year 2017, we observed that there were 2 positive reviews for Cleaniness, 2 positive reviews for Services, 0 positive reviews for Value, and 0 positive reviews for Amenities. Additionally, there were 0 negative reviews for Cleaniness, 0 negative reviews for Services, 0 negative reviews for Value, and 0 negative reviews for Amenities.

For the year 2018, we observed that there were 3 positive reviews for Cleaniness, 1 positive review for Services, 1 positive review for Value, and 9 positive reviews for Amenities. Additionally, there were 0 negative reviews for Cleaniness, 0 negative reviews for Services, 0 negative reviews for Value, and 0 negative reviews for Amenities.

For the year 2019, we observed that there were 2 positive reviews for Cleaniness, 4 positive reviews for Services, 0 positive reviews for Value, and 0 positive reviews for Amenities. Additionally, there were 0 negative reviews for Cleaniness, 0 negative reviews for Services, 0 negative reviews for Value, and 0 negative reviews for Amenities.

For the year 2020, we observed that there were 4 positive reviews for Cleaniness, 6 positive reviews for Services, 0 positive reviews for Value, and 0 positive reviews for Amenities. Additionally, there were 0 negative reviews for Cleaniness, 0 negative reviews for Services, 0 negative reviews for Value, and 0 negative reviews for Amenities.

For the year 2021, we observed that there were 5 positive reviews for Cleaniness, 7 positive reviews for Services, 0 positive reviews for Value, and 0 positive reviews for Amenities. Additionally, there were 0 negative reviews for Cleaniness, 0 negative reviews for Services, 0 negative reviews for Value, and 0 negative reviews for Amenities.

For the year 2022, we observed that there were 5 positive reviews for Cleaniness, 8 positive reviews for Services, 0 positive reviews for Value, and 0 positive reviews for Amenities. Additionally, there were 0 negative reviews for Cleaniness, 0 negative reviews for Services, 0 negative reviews for Value, and 0 negative reviews for Amenities.

For the year 2023, we observed that there were 5 positive reviews for Cleaniness, 9 positive reviews for Services, 0 positive reviews for Value, and 9 positive reviews for Amenities. Additionally, there were 0 negative reviews for Cleaniness, 0 negative reviews for Services, 0 negative reviews for Value, and 0 negative reviews for Amenities."
